bfs_nr,municipality,canton,bfs_municipality_type_2012_25,electric_car_share,electric_car_count,electric_car_share_last_change,electric_car_charging_spot_count,electric_cars_per_charging_spot,electric_car_charging_spot_last_change,solar_potential_usage,solar_power_installed_kwp,solar_potential_usage_last_change,renewable_heating_share,renewable_heating_count,non_renewable_heating_count,no_heating_count,renewable_heating_share_coverage,renewable_heating_share_last_change,elec_consumption_mwh_per_year_per_capita,elec_consumption_households_mwh_per_year_per_capita,elec_consumption_mwh_per_year,elec_consumption_households_mwh_per_year,elec_consumption_date_from,elec_consumption_date_until,renelec_production_mwh_per_year_per_capita,renelec_production_mwh_per_year,renelec_production_water_mwh_per_year,renelec_production_solar_mwh_per_year,renelec_production_wind_mwh_per_year,renelec_production_biomass_mwh_per_year,renelec_production_waste_mwh_per_year,renelec_production_date_from,renelec_production_date_until
5495,Penthalaz,VD,226,0.030075,60,2024-09-30,0,,2024-10-21,0.057534,1262,2024-10-07,0.129482,65,437,246,0.946835,2024-08-16,3.8408,1.7219,12183,5462,2023-09-01,2024-08-31,0.4401,1396,425,971,0,0,0,2023-10-01,2024-09-30
5496,Penthaz,VD,226,0.04721,66,2024-09-30,0,,2024-10-21,0.106064,1408,2024-10-07,0.172494,74,355,206,0.953453,2024-10-15,3.3025,1.9542,6638,3928,2023-09-01,2024-08-31,0.5617,1129,0,1129,0,0,0,2023-10-01,2024-09-30
5497,Pompaples,VD,327,0.02924,15,2024-09-30,0,,2024-10-21,0.072019,505,2024-10-07,0.431818,76,100,104,0.97561,2024-10-15,5.1563,2.5081,4453,2166,2023-09-01,2024-08-31,0.4771,412,0,412,0,0,0,2023-10-01,2024-09-30
5498,La Sarraz,VD,227,0.03541,54,2024-09-30,2,27.0,2024-10-21,0.10418,1842,2024-10-07,0.210227,111,417,234,0.947761,2024-10-24,3.1477,1.8033,8225,4712,2023-09-01,2024-08-31,0.9495,2481,1047,1434,0,0,0,2023-10-01,2024-09-30
5499,Senarclens,VD,237,0.048851,17,2024-09-30,0,,2024-10-21,0.042763,265,2024-10-07,0.211382,26,97,70,0.950739,2024-05-15,3.58,2.146,1785,1070,2023-09-01,2024-08-31,0.4372,218,0,218,0,0,0,2023-10-01,2024-09-30
5501,Sullens,VD,237,0.072904,60,2024-09-30,0,,2024-10-21,0.097078,834,2024-10-07,0.248322,74,224,167,0.991471,2024-09-18,3.3298,2.1532,4109,2657,2023-09-01,2024-08-31,0.5446,672,0,672,0,0,0,2023-10-01,2024-09-30
5503,Vufflens-la-Ville,VD,236,0.048677,46,2024-09-30,0,,2024-10-21,0.268747,4211,2024-10-07,0.218487,78,279,231,0.960784,2024-09-30,5.2751,2.5428,7153,3448,2023-09-01,2024-08-31,2.3732,3218,0,3218,0,0,0,2023-10-01,2024-09-30
5511,Assens,VD,236,0.0366,31,2024-09-30,0,,2024-10-21,0.049897,1037,2024-09-09,0.189189,63,270,218,0.927609,2024-10-24,6.023,1.9439,10321,3331,2023-09-01,2024-08-31,0.4581,785,0,785,0,0,0,2023-10-01,2024-09-30
5512,Bercher,VD,237,0.035545,30,2024-09-30,1,30.0,2024-10-21,0.130448,1742,2024-10-07,0.241279,83,261,195,0.974684,2024-10-04,3.763,2.0435,5342,2901,2023-09-01,2024-08-31,0.9622,1366,0,1366,0,0,0,2023-10-01,2024-09-30
5514,Bottens,VD,236,0.054842,47,2024-09-30,0,,2024-10-21,0.083082,1048,2024-10-07,0.249097,69,208,145,0.976852,2024-07-10,3.0218,2.0457,4164,2819,2023-09-01,2024-08-31,0.598,824,0,824,0,0,0,2023-10-01,2024-09-30
