period, operator, operatorLabel, product, category, gridusagename, gridusage before discount (cts./kWh), gridusagediscount discount (cts./kWh), gridusage after discount (cts./kWh), hereof grid: fixcosts (CHF p.a.), hereof grid: power price (CHF p.a.), hereof grid: working price (cts./kWh), energyname, energy before discount (cts./kWh), energy discount (cts./kWh), energy after discount (cts./kWh), hereof energy: fixcosts (CHF p.a.), hereof energy: power price (CHF p.a.), hereof energy: working price (cts./kWh), charge (cts./kWh), aidfee (cts./kWh), total (cts./kWh)
2025,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H6,Standard,7.26,0,7.26,0,0,6,Standard,15.9,0,15.9,0,0,15.9,0.5,2.3,25.96
2025,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H2,Standard,11.58,0,11.58,0,0,6,Standard,15.9,0,15.9,0,0,15.9,0.5,2.3,30.28
2025,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C1,Standard,8.28,0,8.28,0,0,6,Standard,15.9,0,15.9,0,0,15.9,0.5,2.3,26.98
2025,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,C2,Standard,7.18,0,7.18,0,0,6,Standard,15.9,0,15.9,0,0,15.9,0.5,2.3,25.88
2025,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H3,Standard,9.446666666666667,0,9.446666666666667,0,0,6,Standard,15.9,0,15.9,0,0,15.9,0.5,2.3,28.14666666666667
2025,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H8,Standard,8.38,0,8.38,0,0,6,Standard,15.9,0,15.9,0,0,15.9,0.5,2.3,27.08
2025,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H5,Standard,8.38,0,8.38,0,0,6,Standard,15.9,0,15.9,0,0,15.9,0.5,2.3,27.08
2025,CHE-100.587.008,"Politische Gemeinde Benken ZH, Elektrizitätsversorgung",standard,H1,Standard,14.28,0,14.28,0,0,6,Standard,15.9,0,15.9,0,0,15.9,0.5,2.3,32.98
2025,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C4,NS 2,6.752,0,6.752,0,9000,4.1,NS 2,10.5897,0,10.5897,0,0,10.5897,0,2.3,19.6417
2025,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H6,Haushalt und Gewerbe,4.6255,0,4.6255,0,0,3.2695,Haushalt und Gewerbe,11.26142857142857,0,11.26142857142857,0,0,11.26142857142857,0,2.3,18.18692857142857
2025,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C1,Haushalt und Gewerbe,7.255,0,7.255,0,0,4.675,Haushalt und Gewerbe,12.6,0,12.6,0,0,12.6,0,2.3,22.155
2025,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H2,Haushalt und Gewerbe,10.558,0,10.558,0,0,4.018,Haushalt und Gewerbe,11.974285714285715,0,11.974285714285715,0,0,11.974285714285715,0,2.3,24.832285714285714
2025,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H1,Haushalt und Gewerbe					,13.8284375,0,13.8284375,0,0,4.0484375,Haushalt und Gewerbe,12.00327380952381,0,12.00327380952381,0,0,12.00327380952381,0,2.3,28.13171130952381
2025,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H3,Haushalt und Gewerbe,7.59,0,7.59,0,0,3.61,Haushalt und Gewerbe,11.585714285714285,0,11.585714285714285,0,0,11.585714285714285,0,2.3,21.475714285714286
2025,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H7,Haushalt und Gewerbe sowie Wärmepumpe,5.894203296703297,0,5.894203296703297,0,0,3.7295879120879123,Haushalt und Gewerbe sowie Wärmepumpe,11.273598901098902,0,11.273598901098902,0,0,11.273598901098902,0,2.3,19.467802197802197
2025,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H4,Haushalt und Gewerbe,8.011666666666667,0,8.011666666666667,0,0,4.031666666666666,Haushalt und Gewerbe,11.987301587301587,0,11.987301587301587,0,0,11.987301587301587,0,2.3,22.298968253968255
2025,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C2,Haushalt und Gewerbe,5.91015,0,5.91015,0,0,4.65015,Haushalt und Gewerbe,12.576333333333332,0,12.576333333333332,0,0,12.576333333333332,0,2.3,20.786483333333333
2025,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H5,Haushalt und Gewerbe,6.365,0,6.365,0,0,3.665,Haushalt und Gewerbe,11.638095238095238,0,11.638095238095238,0,0,11.638095238095238,0,2.3,20.30309523809524
2025,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,H8,Haushalt und Gewerbe,6.731833333333333,0,6.731833333333333,0,0,4.031833333333333,Haushalt und Gewerbe,11.987460317460318,0,11.987460317460318,0,0,11.987460317460318,0,2.3,21.01929365079365
2025,CHE-112.540.663,"Gemeinde Andelfingen, Stromversorgung",standard,C3,NS 2,7.12,0,7.12,0,3000,4.1,NS 2,10.792,0,10.792,0,0,10.792,0,2.3,20.212
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C1,Haushalt Standard,13.215,0,13.215,36,0,11.01,Haushalt Standard,18.47,0,18.47,36,0,18.02,0,2.3,33.985
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,C4,Gewerbe alle Branchen,7.93439,0,7.93439,0,10.4,7.02741,Gewerbe alle Branchen,18.02,0,18.02,0,0,18.02,0,2.3,28.25439
2025,CHE-103.298.345,Elektrizitätsgenossenschaft Marthalen,standard,H6,Haushalt Standard,12.246,0,12.246,36,0,11.01,Haushalt Standard,18.164,0,18.164,36,0,18.02,0,2.3,32.71
