operator,website,municipalityNumber,municipalityName,operatorAddress,operatorPostalCode,canton
Genossenschaft Licht- und Kraftwerke Glattfelden,www.lkwg.ch,58,Glattfelden,"Dorfstrasse, Glattfelden",8192,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,58,Glattfelden,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,59,Hochfelden,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,59,Hochfelden,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,60,Höri,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,61,Hüntwangen,"Dreikönigstrasse, Zürich",8002,ZH
Industrielle Betriebe Kloten AG,www.ibkloten.ch,62,Kloten,"Flughafenstrasse, Kloten",8302,ZH
Industrielle Betriebe Kloten AG,www.ibkloten.ch,62,Kloten,"Flughafenstrasse, Kloten",8302,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,63,Lufingen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,64,Nürensdorf,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,65,Oberembrach,"Dreikönigstrasse, Zürich",8002,ZH
Energie Opfikon AG,www.energieopfikon.ch,66,Opfikon,"Schaffhauserstrasse , Opfikon",8152,ZH
Energie Opfikon AG,www.energieopfikon.ch,66,Opfikon,"Schaffhauserstrasse , Opfikon",8152,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,67,Rafz,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,68,Rorbas,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,68,Rorbas,"Dreikönigstrasse, Zürich",8002,ZH
die werke versorgung wallisellen ag,www.diewerke.ch,69,Wallisellen,"Industriestrasse, Wallisellen",8304,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,70,Wasterkingen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,70,Wasterkingen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,71,Wil (ZH),"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,71,Wil (ZH),"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,72,Winkel,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,72,Winkel,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,81,Bachs,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,82,Boppelsen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,82,Boppelsen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,83,Buchs (ZH),"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,84,Dällikon,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,85,Dänikon,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,86,Dielsdorf,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,87,Hüttikon,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,88,Neerach,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,88,Neerach,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,88,Neerach,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,88,Neerach,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,89,Niederglatt,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,89,Niederglatt,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,90,Niederhasli,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,90,Niederhasli,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,91,Niederweningen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerk Oberglatt,www.oberglatt.ch,92,Oberglatt,"Rümlangstrasse , Oberglatt",8154,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,92,Oberglatt,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,93,Oberweningen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,93,Oberweningen,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätsgenossenschaft Otelfingen,www.eg-otelfingen.ch,94,Otelfingen,"Hinterdorfstrasse, Otelfingen",8112,ZH
Elektrizitätsgenossenschaft Otelfingen,www.eg-otelfingen.ch,94,Otelfingen,"Hinterdorfstrasse, Otelfingen",8112,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,95,Regensberg,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,96,Regensdorf,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,96,Regensdorf,"Dreikönigstrasse, Zürich",8002,ZH
Elektrizitätswerk Rümlang Genossenschaft,www.ewruemlang.ch,97,Rümlang,"Lindenweg, Rümlang",8153,ZH
Elektrizitätswerk Rümlang Genossenschaft,www.ewruemlang.ch,97,Rümlang,"Lindenweg, Rümlang",8153,ZH
Elektrizitätswerk Rümlang Genossenschaft,www.ewruemlang.ch,97,Rümlang,"Lindenweg, Rümlang",8153,ZH
Elektrizitätswerke des Kantons Zürich (EKZ),www.ekz.ch,98,Schleinikon,"Dreikönigstrasse, Zürich",8002,ZH
